Page,What is needed / detail,Raised,,
Outstanding,,,Billy,Grant Notes
Header,it would be good to see how the logo looks left alinged like the 'corporate' site,,,
Header options - Trade Retailers,"either links to a pageof information, or directs to the 'corporate site'",,,
Header options - Publishers,"either links to a pageof information, or directs to the 'corporate site'",,,
Footer - category headings,can these be red to match the 'corporate' site,,,
Footer - Background colour,match the 'corporate' site colour,,,
Footer - Explore Section,this is not needed,,,
Footer - telephone number,space needed between the areas code and number,,,
Footer - socials,"we need instagram, facebook, x, bluesky and linkedin",,,
Product Page - publisher name above title,can be removed,,,
Product Page - new title banner/highlight,we spoke about titles published within the current month having a sort of banner to highlight,,,
Product Page - main title,text could be made slightly smaller,,,
Product Page - book subtitle,text could be made slightly larger,,,
Product Page - authors,currently these are all together without spaces. When clicked it doesn't search correctly,,,
Product Page - Price,text could be made slightly smaller,,,
Product Page - Stock levels,look at options available for thresholds,,,
Product Page - out of stock items,Option for leaving email to be notified when next available,,,
Product Page - Icons under price,"not sure we need delviery, returns and secure checkout displayed n each item.",,,
Product Page - synopsis,text could be made slightly smaller,,,
Product page - subjects and classifications boxes,"made searchable, also the background colours colould be reds/greys etc, like on the 'corporate' site for contrast",,,
Product Page - product details,The publisher name and the imprint should be clickable/searchable,,,
Collections Page - subject text,text could be made slightly smaller on the header,,,
Collections page - layout,"the individual items could be smaller, perhaps 4 across? / max 24 per page",,,
Checkout page,needs branding/colours etc. We DO NOT want to fofer paypal as an option.,,,
EU Withdrawl button,needs implementing,,,
Accessibility tools,we need to add a free widget/app to be compliant,,,
