top,l2,products,keep,parent_total
J,JB,3821,True,10127
J,JP,3433,True,10127
J,JN,1217,True,10127
J,JM,1034,True,10127
J,JH,901,True,10127
J,JW,565,True,10127
J,JK,476,True,10127
Y,YN,3601,True,6278
Y,YF,1200,True,6278
Y,YB,1034,True,6278
Y,YP,837,True,6278
Y,YX,631,True,6278
Y,YD,27,True,6278
Y,YR,19,False,6278
Y,YZ,13,False,6278
M,MB,1603,True,5103
M,MJ,1568,True,5103
M,MK,1503,True,5103
M,MF,402,True,5103
M,MN,201,True,5103
M,MQ,164,True,5103
M,MX,88,True,5103
M,MR,29,True,5103
M,MZ,29,True,5103
P,PS,1739,True,4073
P,PH,827,True,4073
P,PN,765,True,4073
P,PB,548,True,4073
P,PD,203,True,4073
P,PG,70,True,4073
D,DN,2053,True,3996
D,DC,927,True,3996
D,DS,889,True,3996
D,DD,309,True,3996
D,DB,31,True,3996
Q,QR,2866,True,3906
Q,QD,1188,True,3906
A,AG,964,True,3811
A,AJ,948,True,3811
A,AK,660,True,3811
A,AT,534,True,3811
A,AM,523,True,3811
A,AV,381,True,3811
A,AF,350,True,3811
A,AB,215,True,3811
T,TQ,522,True,3516
T,TH,508,True,3516
T,TG,485,True,3516
T,TD,465,True,3516
T,TV,452,True,3516
T,TB,438,True,3516
T,TJ,233,True,3516
T,TT,169,True,3516
T,TC,165,True,3516
T,TN,78,True,3516
T,TR,70,True,3516
K,KC,1704,True,3455
K,KJ,933,True,3455
K,KN,682,True,3455
K,KF,363,True,3455
N,NH,3146,True,3224
N,NK,110,True,3224
W,WN,756,True,2652
W,WT,486,True,2652
W,WD,411,True,2652
W,WB,363,True,2652
W,WG,158,True,2652
W,WM,128,True,2652
W,WQ,102,True,2652
W,WZ,97,True,2652
W,WF,95,True,2652
W,WC,94,True,2652
W,WH,94,True,2652
W,WK,44,True,2652
W,WJ,38,True,2652
F,FB,1144,True,2133
F,FJ,321,True,2133
F,FY,277,True,2133
F,FV,262,True,2133
F,FH,254,True,2133
F,FX,238,True,2133
F,FM,226,True,2133
F,FF,221,True,2133
F,FL,144,True,2133
F,FR,103,True,2133
F,FS,96,True,2133
F,FK,86,True,2133
F,FU,84,True,2133
F,FN,56,True,2133
F,FW,36,True,2133
F,FT,31,True,2133
F,FD,24,True,2133
F,FC,13,False,2133
F,FP,13,False,2133
F,FQ,11,False,2133
F,FG,5,False,2133
F,FZ,1,False,2133
V,VX,1087,True,2003
V,VF,743,True,2003
V,VS,366,True,2003
R,RN,1227,True,1793
R,RB,254,True,1793
R,RG,239,True,1793
R,RP,154,True,1793
C,CJ,813,True,1199
C,CF,276,True,1199
C,CB,162,True,1199
G,GT,480,True,789
G,GB,191,True,789
G,GL,63,True,789
G,GP,63,True,789
S,SF,232,True,738
S,SC,204,True,738
S,SZ,104,True,738
S,SR,99,True,738
S,SV,67,True,738
S,ST,54,True,738
S,SP,24,True,738
S,SM,22,False,738
S,SH,18,False,738
S,SK,9,False,738
S,SX,4,False,738
L,LN,523,True,731
L,LA,165,True,731
L,LB,69,True,731
U,UY,332,True,701
U,UM,92,True,701
U,UN,79,True,701
U,UB,75,True,701
U,UD,58,True,701
U,UR,55,True,701
U,UT,29,True,701
U,UF,27,True,701
U,UG,10,False,701
U,UK,8,False,701
U,UL,2,False,701
X,XA,352,True,392
X,XQ,329,True,392
X,XY,7,False,392
X,XR,1,False,392
